代碼,名稱,狀態,股價,昨收,張數,最高,最低
3711,日月光投控,成交,73.1,74.9,"7,542",74.6,72.8
2330,台積電,成交,241.5,243.5,"18,436",244.5,239.5
2454,聯發科,成交,260.0,265.0,"2,331",264.0,260.0
