author,comments,images,pushes
a45665456 (好想打沙灘排球啊),34,4,26
agricultural (務農的),16,6,10
Black3831372 (男哥是我),75,30,73
AmedRosario (SS),91,7,78
ryanworld (大木人18號),245,25,207
jojodiy (你的小老二),89,5,73
airgp32002 (airgp32002),45,21,30
chtsau (chtsau),4,1,0
YenFuOne (焉芙丸),23,6,9
fack3170 (Jくん),30,12,24
chirex (鐵石哥_不含銅鋰鋅),4,9,1
fack3170 (Jくん),25,6,14
fack3170 (Jくん),8,6,3
rados (),10,4,9
maxxxxxx (馬克思),14,5,11
jinhaung (),38,1,32
andy16384257 (安迪),6,10,6
dani0921 (想睡覺),20,6,16
ReiKuromiya (Rei Kuromiya),23,16,20
jojodiy (你的小老二),34,15,29
YenFuOne (焉芙丸),3,6,2
ReiKuromiya (Rei Kuromiya),4,7,1
ReiKuromiya (Rei Kuromiya),9,9,8
yuan0730li (沅來如此),5,2,3
ReiKuromiya (Rei Kuromiya),11,1,10
qq1258 (阿犬),83,9,55
chunyang0604 (ppwqq),39,2,17
fack3170 (Jくん),13,6,8
Aotearoa (長白雲之鄉),21,28,21
fack3170 (Jくん),22,10,20
ozjucka (JACK),2,1,2
Black3831372 (男哥是我),83,9,64
ReiKuromiya (Rei Kuromiya),33,1,27
ReiKuromiya (Rei Kuromiya),60,3,48
james7923 (詹姆士Q),17,7,12
chunyang0604 (ppwqq),11,1,5
LoveWin7 (WIN 7再戰10年),12,1,10
ReiKuromiya (Rei Kuromiya),8,1,6
YenFuOne (焉芙丸),22,15,12
ReiKuromiya (Rei Kuromiya),7,8,7
Aotearoa (長白雲之鄉),20,19,20
teramars (tomorrow never knows),182,13,141
LoveWin7 (WIN 7再戰10年),39,6,27
aes123 (WUAN),3,1,1
leeyihsien (媽媽我好餓),5,1,3
powernba (菸酒生),124,4,54
ReiKuromiya (Rei Kuromiya),17,1,10
Black3831372 (男哥是我),70,30,59
andy16384257 (安迪),8,10,6
emperor (歐派‧蘿莉‧しほ‧翼),8,12,8
gordon185 (Gordon喆哥),20,7,16
AmedRosario (SS),4,10,3
james7923 (詹姆士Q),42,30,30
Cialis (犀利士),8,1,2
Cialis (犀利士),3,1,1
Cialis (犀利士),8,1,3
Cialis (犀利士),3,1,0
Cialis (犀利士),3,2,0
gj94ek (我帥的太沉重),97,38,65
fack3170 (Jくん),4,3,2
fack3170 (Jくん),2,5,1
a452136 (看過囉),8,1,2
ReiKuromiya (Rei Kuromiya),35,9,27
SupHateSpurs (★厲害了☆我的☆馬刺★),26,6,9
AmedRosario (SS),11,13,6
Note5edge (諾特五欸舉),8,6,5
forgenius (否雞),16,2,8
teramars (tomorrow never knows),99,6,75
yellowsayshi (無我狀態),5,8,3
ReiKuromiya (Rei Kuromiya),9,3,5
HarunaOno (Scandal最高),91,85,75
