author,comments,images,pushes
biolive30 (biolive30),156,3,110
xpsecret (雙層純牛肉),600,8,434
li08090627 (Ian),7,2,1
li08090627 (Ian),6,2,4
c9117 (大腸),3,1,1
ReiKuromiya (Rei Kuromiya),18,5,16
periodology (花椰菜),14,10,11
fack3170 (JC),5,9,5
zoro1022 (落),48,8,24
johncika11 (maycolas),27,3,9
HarunaOno (Scandal最高),74,111,66
NCCUOnline (嗯嘻嘻唷昂賴),7,8,6
NCCUOnline (嗯嘻嘻唷昂賴),4,5,3
NCCUOnline (嗯嘻嘻唷昂賴),2,5,1
fack3170 (JC),3,4,2
zxcvbnm11021 (xxx),8,3,3
Arschloch (Arschloch),55,29,49
fack3170 (JC),254,53,214
NCCUOnline (嗯嘻嘻唷昂賴),4,4,2
NCCUOnline (嗯嘻嘻唷昂賴),8,6,1
NCCUOnline (嗯嘻嘻唷昂賴),2,7,1
ReiKuromiya (Rei Kuromiya),74,11,61
james7923 (詹姆士Q),63,37,30
Black3831372 (男哥是我),9,22,8
Arschloch (Arschloch),5,13,5
robiru8999 (滾王滾滾),2,3,2
FrancisHuang (像法轉時),7,4,2
moiathory (扭曲雛菊),4,5,2
ReiKuromiya (Rei Kuromiya),82,37,75
Epimenides (No.13),5,1,0
gto3ping (我愛3P),12,1,6
li08090627 (Ian),2,1,0
KenLM (K.M),5,1,3
mars1985 (╰|∵|╯),22,4,18
patrick79521 (patrick),1,1,1
TheMash (Cams),31,3,13
lishan90734 (封封封),23,4,19
overwinner (超越溫拿),32,7,10
CrazyMadness (瘋狂麥德斯),11,8,9
anythingok (情侶破壞王✩),628,7,273
PANG920 (冗冗der),32,2,22
HulkSmash (吼~吼~吼哥),83,1,71
TyuzuChou (子瑜我老婆),9,8,9
kenselina (小白啦啦),1,2,0
ReiKuromiya (Rei Kuromiya),57,16,41
fidelity77 (小柚),121,8,77
AmedRosario (SS),64,12,43
hsnuzoo (追夢者),22,8,18
ReiKuromiya (Rei Kuromiya),3,7,2
LoveWin7 (WIN 7再戰10年),12,5,9
molymochi (ArLeGoN),13,1,7
AmedRosario (SS),7,4,4
HarunaOno (Scandal最高),36,11,28
Black3831372 (男哥是我),96,33,86
earltyro (伯茶),109,3,71
ReiKuromiya (Rei Kuromiya),33,7,27
andy199113 (Andy),6,4,4
STree (陳智弘),65,2,41
PANG920 (冗冗der),88,17,71
dennis80434 (北海小思宇),5,1,2
HarunaOno (Scandal最高),22,31,14
fack3170 (Jくん),11,10,5
li08090627 (Ian),5,3,5
gordon185 (Gordon喆哥),67,10,36
Cialis (犀利士),5,1,2
gordon185 (Gordon喆哥),7,4,4
wlxt0615 (I'm Not A Nice GUY),3,3,3
AmedRosario (SS),59,11,46
wow919980 (wow),5,8,4
Black3831372 (男哥是我),98,32,85
nk940155 (  霜夜  一生♡香),6,1,3
MyHolyDie (八豆),9,1,7
alan0419 (未來...),308,4,177
w3s8238 (古董),9,1,6
AmedRosario (SS),106,7,70
li08090627 (Ian),50,6,35
PANG920 (冗冗der),24,3,7
Black3831372 (男哥是我),17,6,15
INNNNNNNNNNN (走召石更示申豸苗),21,8,11
ReiKuromiya (Rei Kuromiya),11,7,8
s15105211 (阿達),11,1,3
YenFuOne (焉芙丸),35,3,9
ReiKuromiya (Rei Kuromiya),20,1,13
ReiKuromiya (Rei Kuromiya),21,1,18
cckcc (紅心點),9,5,3
yoght68947 (TheAres),17,4,7
denverkober (因人廢言),6,7,4
charli520 (貪狼獨座),191,12,119
fack3170 (Jくん),31,6,20
fack3170 (Jくん),3,3,3
teramars (tomorrow never knows),89,8,67
AmedRosario (SS),77,12,42
Aotearoa (長白雲之鄉),7,14,7
thepowerboy (power),21,2,12
shc2014 (shc2014),7,1,0
fack3170 (Jくん),30,10,26
zx4405 (zx4405),11,2,10
sooge (Momo桃子的老公),77,28,51
ryanworld (大木人18號),92,11,78
suzy00786 (SuzyShine),32,1,17
ReiKuromiya (Rei Kuromiya),3,1,3
fack3170 (Jくん),205,17,126
yellowsayshi (無我狀態),18,7,13
zhu158 (小新),73,5,54
haoxian (棒棒糖男孩),16,3,15
AmedRosario (SS),31,9,24
Alyssa1212 (Alyssa1212),70,5,36
airgp32002 (airgp32002),71,16,48
yellowsayshi (無我狀態),32,5,17
ReiKuromiya (Rei Kuromiya),119,21,93
kke (wangking),60,13,55
james7923 (詹姆士Q),11,31,10
HarunaOno (Scandal最高),36,7,32
hspipi (腦震盪的人),5,1,0
