,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,48,Khris Middleton,MIL,27,2,2,0,23.6,14.0,4.5,9.5,47.4,2.0,4.5,44.4,3.0,3.0,100.0,0.5,4.0,4.5,2.5,1.5,0.5,0.5,1.5,24.7,0,0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48,Trae Young,ATL,20,3,1,2,25.3,14.0,4.7,13.0,35.9,1.3,5.3,25.0,3.3,3.7,90.9,0.0,1.3,1.3,5.0,2.7,1.3,0.3,3.3,25.4,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2,53,Marcus Morris,BOS,29,4,1,3,20.6,13.8,4.8,10.8,44.2,2.5,6.0,41.7,1.8,2.3,77.8,0.8,3.3,4.0,0.8,0.8,0.5,0.5,2.8,21.9,0,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,54,Jrue Holiday,NOP,28,3,0,3,19.4,13.7,5.7,9.0,63.0,2.3,4.0,58.3,0.0,0.0,0.0,0.0,1.3,1.3,3.3,2.3,0.3,0.0,1.3,18.9,0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,54,Jonas Valanciunas,TOR,26,3,2,1,18.5,13.7,4.0,8.3,48.0,0.0,0.7,0.0,5.7,6.3,89.5,3.7,4.0,7.7,1.0,2.3,1.7,0.7,1.7,29.0,0,0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,54,Carmelo Anthony,HOU,34,3,2,1,27.4,13.7,5.0,9.3,53.6,3.0,6.0,50.0,0.7,0.7,100.0,0.3,4.7,5.0,0.0,0.3,0.7,0.3,2.0,22.3,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
6,54,Malik Beasley,DEN,21,3,3,0,24.2,13.7,4.3,7.7,56.5,3.7,5.3,68.8,1.3,2.3,57.1,0.3,2.3,2.7,1.3,0.7,1.0,0.3,2.7,22.2,0,0,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,
7,58,Kyle Kuzma,LAL,23,4,1,3,24.2,13.5,4.8,11.5,41.3,1.5,4.3,35.3,2.5,3.0,83.3,0.3,3.8,4.0,1.8,1.8,0.8,0.3,3.3,22.2,0,0,-7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
8,58,Mike Conley,MEM,30,2,1,1,24.4,13.5,5.5,11.5,47.8,0.5,4.0,12.5,2.0,2.0,100.0,1.0,1.5,2.5,2.5,1.5,0.5,0.0,3.0,20.3,0,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,60,LeBron James,LAL,33,3,1,2,15.2,13.3,4.3,7.3,59.1,1.0,1.3,75.0,3.7,4.3,84.6,0.0,3.0,3.0,3.3,2.7,0.7,0.3,1.3,22.3,0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,61,Jaren Jackson Jr.,MEM,19,3,2,1,20.4,13.0,4.7,7.3,63.6,0.7,1.3,50.0,3.0,4.3,69.2,2.3,2.3,4.7,2.0,2.3,0.7,0.0,4.0,21.3,0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,61,Gary Harris,DEN,24,1,1,0,21.5,13.0,5.0,10.0,50.0,1.0,5.0,20.0,2.0,2.0,100.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,20.2,0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,61,Julius Randle,NOP,23,2,0,2,22.4,13.0,5.0,7.5,66.7,0.5,1.5,33.3,2.5,5.5,45.5,0.5,5.5,6.0,3.0,2.5,1.0,0.5,3.0,26.7,0,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,61,CJ McCollum,POR,27,3,1,2,20.0,13.0,5.3,10.0,53.3,1.3,3.7,36.4,1.0,1.7,60.0,0.7,2.7,3.3,3.3,1.0,0.3,0.3,1.3,23.0,0,0,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,
14,61,Tyreke Evans,IND,29,2,1,1,25.8,13.0,4.5,13.5,33.3,1.5,5.5,27.3,2.5,4.0,62.5,0.5,4.5,5.0,4.5,2.5,0.0,0.5,3.0,24.8,0,0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,61,Joe Ingles,UTA,31,3,3,0,22.2,13.0,4.0,9.3,42.9,2.3,6.7,35.0,2.7,3.3,80.0,0.0,3.7,3.7,5.3,1.7,0.7,0.0,2.3,25.7,0,0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,61,Terrence Ross,ORL,27,1,0,1,15.2,13.0,5.0,9.0,55.6,3.0,4.0,75.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0,25.9,0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,61,Deng Adel,TOR,21,1,1,0,16.4,13.0,5.0,5.0,100.0,1.0,1.0,100.0,2.0,3.0,66.7,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,19.6,0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
