品名,價格,價格2,折扣%,評價,評論數
Logitech MK 215 Mouse Combo & Wireless Laptop Keyboard,"₹1,749","₹1,895",7% off,4.3,"(2,943)"
Logitech MK220 Wireless combo keyboard and mouse Wirele...,"₹1,850","₹1,995",7% off,,
Logitech LO-ky596 Wired USB Desktop Keyboard,"₹1,200",,,,
Logitech G402 Wired Optical Gaming Mouse,"₹2,599","₹2,990",13% off,4.7,"(2,460)"
Logitech Pebble M350 Wireless Optical Mouse,"₹1,899","₹1,995",4% off,4.7,(27)
Logitech 910-005388 R500 Presenter,"₹3,795","₹4,367",13% off,4.6,(21)
Logitech G102 Wired Optical  Gaming Mouse,"₹1,899","₹1,999",5% off,4.6,"(2,671)"
Logitech G502 USB Gaming Mouse (Black) Wired Optical  G...,"₹4,599","₹6,497",29% off,,
Logitech HD Webcam C615,"₹4,799","₹7,495",35% off,4.2,(42)
Logitech G430 Surround Sound Wired Headset,"₹6,050","₹7,095",14% off,4.4,(58)
Logitech MK520 Wireless Keyboard and Mouse Combo Combo ...,"₹8,375","₹9,276",9% off,,
Logitech LO-ky595 Wired USB Desktop Keyboard,"₹1,200",,,,
Logitech Create Back lit Keyboard case Smart Connector ...,"₹14,000",,,,
Logitech MK840 Mouse & Wired USB Multi-device Keyboard,"₹6,497",,,,
Logitech R400 Wireless Laser Presenter,"₹3,400","₹4,500",24% off,4.5,(557)
Logitech Gamepad F310,"₹1,880","₹2,171",13% off,4.5,"(2,962)"
Logitech H390 Bluetooth Headset,"₹3,543","₹3,914",9% off,4.7,(23)
Logitech K120 Wired USB Multi-device Keyboard,₹690,"₹1,255",45% off,3,(16)
Logitech PN 920-0071192 Wireless Laptop Keyboard,"₹3,175","₹3,995",20% off,4.1,(37)
Logitech K 120 WIRED KEYBOARD Wired USB Multi-device Ke...,₹950,₹999,4% off,2.3,(3)
Logitech K350 Wireless Laptop Keyboard,"₹6,450","₹6,748",4% off,,
Logitech 920-007558 Bluetooth Laptop Keyboard,"₹4,535","₹5,122",11% off,,
Logitech 920-002359 Wireless Laptop Keyboard,"₹9,064","₹10,457",13% off,,
Logitech ACEBTKEY Wired USB Desktop Keyboard,"₹7,229","₹9,750",25% off,,
Logitech 920-008350 Wired USB Desktop Keyboard,"₹9,064","₹10,206",11% off,,
Logitech M235 Wireless Optical Mouse,₹949,"₹1,250",24% off,4.5,"(9,258)"
Logitech Z506 75 W Home Theatre,"₹7,100","₹9,995",28% off,4.2,(170)
Logitech LOGITECH M170 Wireless Optical Mouse,₹620,₹899,31% off,4.4,(49)
Logitech M585 Multi-Device Multi-Tasking Wireless Optic...,"₹1,799","₹2,645",31% off,4.5,(10)
Logitech H110 Wired Headset,₹674,₹745,9% off,3.8,(150)
rivansh round Wireless Mike Multi-function Bluetooth Mi...,₹427,"₹1,699",74% off,3.5,(15)
Logitech K750 Wireless Gaming Keyboard,"₹7,043","₹7,595",7% off,,
HP C2500 Wired Combo keyboard and Mouse,₹698,₹977,28% off,4.3,"(15,282)"
Dell KM117 Wireless Laptop Keyboard,"₹1,281","₹1,399",8% off,4.4,"(11,162)"
Amkette Xcite NEO Wired USB Laptop Keyboard,₹399,₹549,27% off,4.2,"(9,702)"
Lenovo KB MICE_BO Wireless combo 100 Eng Wireless Lapto...,"₹1,198","₹1,999",40% off,4.3,"(4,084)"
Dell KB 216 Wired USB Desktop Keyboard,₹574,₹649,11% off,4.4,"(8,535)"
Amkette Xcite Neo Mouse & Wired USB Laptop Keyboard,₹549,₹729,24% off,4.2,"(4,219)"
Flipkart SmartBuy Wireless Keyboard & Mouse Combo,"₹1,199","₹1,299",7% off,4.3,"(23,077)"
