中文片名,英文片名,期待度,海報圖片,上映日
音速小子,Sonic the Hedgehog,69%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/November2019/4i6xD3LunZdexYMy7tKt-800x1185.jpg,2020-02-21
李察朱威爾事件,Richard Jewell,93%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2020/nLPG6MdEBYVyelqnY7wn-504x720.jpg,2020-02-21
絕命大平台,The Platform,76%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2020/0VRicXOeicftTggp8zG1-3000x4275.jpg,2020-02-21
陰櫥,The Closet,86%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2020/2oQG8URZbVXQQoHaIAmm-992x1418.JPG,2020-02-21
咒怨 電影版,Ju-On,78%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2020/Wc2DbLSmzS7rBcIBnnDT-500x714.jpg,2020-02-21
少年阿罕默德,Young Ahmed,58%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2020/13eahGU5buNr8RKf60QP-506x720.jpg,2020-02-21
閃閃小超人電影版,SamSam,64%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2020/wPnAXlYL2VzzWcOyyTYs-840x1200.jpg,2020-02-21
吹哨奇案,La Gomera,58%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2020/qTIIR21VYMca7JvhjJxL-2874x4096.jpg,2020-02-21
悲慘世界,Les Misérables,60%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2020/vxtsrQvIAR2PNfyADiNj-1280x1829.jpg,2020-02-21
電影音效傳奇：好萊塢之聲,Making Waves : The Art of Cinematic Sound,80%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2020/2vFOZcDEwWz0VVOxvQlI-934x1329.jpg,2020-02-21
失路人,Someone who was lost,75%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2020/8qiE1jsMrQd0VIPbOELp-495x720.jpg,2020-02-21
