Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,115.779999,116.000000,115.230003,115.839996,110.624825,5953000
2017-01-04,115.500000,116.230003,115.309998,115.650002,110.443390,5828900
2017-01-05,116.000000,116.970001,115.440002,116.860001,111.598900,6217200
2017-01-06,116.669998,117.000000,115.760002,116.300003,111.064125,5221400
2017-01-09,116.349998,116.610001,115.889999,116.279999,111.045021,5436600
2017-01-10,116.029999,117.000000,115.870003,116.160004,110.930435,5312800
2017-01-11,116.080002,116.250000,114.019997,114.730003,109.564819,8887200
2017-01-12,114.269997,114.730003,113.370003,114.620003,109.459778,6627300
2017-01-13,114.940002,115.019997,114.440002,114.599998,109.440651,4935200
2017-01-17,113.940002,115.050003,113.669998,114.870003,109.698517,6244000
2017-01-18,114.870003,115.099998,114.410004,114.699997,109.536163,5014600
2017-01-19,114.680000,114.900002,113.919998,114.199997,109.058670,5540800
2017-01-20,114.489998,115.029999,114.080002,114.150002,109.010910,7502400
2017-01-23,114.510002,114.769997,113.800003,113.910004,108.781723,7989800
2017-01-24,112.910004,113.300003,111.150002,111.760002,106.728531,12450300
2017-01-25,111.930000,112.800003,110.760002,112.800003,107.721695,9385500
2017-01-26,112.000000,112.839996,111.599998,111.839996,106.804932,10164300
2017-01-27,112.000000,113.540001,111.900002,113.379997,108.275581,8886100
2017-01-30,113.400002,113.599998,112.849998,113.129997,108.036835,6969400
2017-01-31,112.790001,113.400002,112.430000,113.250000,108.151436,8713400
2017-02-01,112.480003,113.320000,112.470001,113.230003,108.132339,7082300
2017-02-02,112.820000,113.620003,112.769997,113.570000,108.457024,7826300
2017-02-03,113.500000,113.660004,112.660004,113.639999,108.523888,7267600
2017-02-06,113.459999,113.589996,112.620003,113.400002,108.294685,6178400
2017-02-07,113.599998,113.620003,113.050003,113.480003,108.371086,5507900
2017-02-08,113.300003,113.690002,113.150002,113.400002,108.294685,5272000
2017-02-09,113.400002,114.650002,113.400002,114.080002,108.944069,5854600
2017-02-10,114.320000,115.989998,114.230003,115.239998,110.051849,6438500
2017-02-13,115.279999,116.120003,115.220001,115.879997,110.663025,5710800
2017-02-14,115.440002,116.400002,115.320000,116.360001,111.121422,5499800
2017-02-15,115.900002,117.459999,115.589996,117.199997,111.923599,5979700
2017-02-16,117.000000,118.279999,117.000000,118.080002,112.763992,7119300
2017-02-17,118.190002,118.900002,118.050003,118.860001,113.508888,8691400
2017-02-21,118.400002,119.889999,118.320000,119.660004,114.272865,8595100
2017-02-22,119.279999,119.769997,119.250000,119.519997,114.139168,5103900
2017-02-23,119.519997,121.900002,119.480003,121.699997,116.221016,9980900
2017-02-24,121.500000,122.739998,120.900002,122.730003,117.980202,10835000
2017-02-27,122.129997,122.879997,122.099998,122.400002,117.662964,5946200
2017-02-28,122.010002,122.650002,121.940002,122.209999,117.480316,8885500
2017-03-01,122.489998,124.449997,122.419998,123.860001,119.066452,9393900
2017-03-02,123.750000,124.360001,123.019997,123.629997,118.845360,6950200
2017-03-03,123.629997,123.930000,123.230003,123.790001,118.999176,5585200
