,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,199,Sterling Brown,MIL,23,1,1,0,14.8,8.0,2.0,6.0,33.3,1.0,2.0,50.0,3.0,3.0,100.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,10.9,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,199,E'Twaun Moore,NOP,29,3,0,3,20.7,8.0,3.3,8.7,38.5,1.3,4.0,33.3,0.0,0.0,0.0,0.7,1.7,2.3,0.7,1.3,0.7,0.3,2.7,13.5,0,0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,199,Trey Burke,NYK,25,4,3,1,16.7,8.0,2.8,8.0,34.4,0.5,2.0,25.0,2.0,2.3,88.9,0.5,0.8,1.3,1.5,1.3,1.3,0.0,2.0,14.3,0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,199,Jahlil Okafor,NOP,22,1,0,1,16.9,8.0,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,1.0,2.0,0.0,2.0,2.0,21.9,0,0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,199,Trevon Bluiett,NOP,23,1,0,1,15.5,8.0,3.0,4.0,75.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.7,0,0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,199,Will Barton,DEN,27,3,3,0,23.2,8.0,2.7,9.7,27.6,1.0,4.0,25.0,1.7,2.3,71.4,0.3,2.3,2.7,2.3,1.7,1.7,0.0,2.0,18.0,0,0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,199,Christian Wood,MIL,23,2,2,0,15.0,8.0,3.0,5.5,54.5,0.5,2.0,25.0,1.5,4.0,37.5,1.0,2.5,3.5,1.5,1.5,0.5,0.0,1.0,14.5,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,199,Jordan Bell,GSW,23,2,1,1,16.6,8.0,3.5,6.5,53.8,0.0,0.5,0.0,1.0,1.0,100.0,1.0,4.0,5.0,2.5,3.0,0.0,1.0,2.0,17.8,0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,199,Devin Harris,DAL,35,3,2,1,16.6,8.0,2.7,7.7,34.8,1.7,4.7,35.7,1.0,2.0,50.0,0.3,2.0,2.3,1.3,0.3,0.3,0.7,1.3,15.5,0,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
9,199,Marquese Chriss,HOU,21,2,1,1,19.3,8.0,3.0,6.0,50.0,0.0,0.5,0.0,2.0,3.0,66.7,1.0,3.5,4.5,0.5,4.0,0.5,2.5,4.5,19.2,0,0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
