,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
20,21,Dennis Schroder,OKC,25,3,2,1,26.9,17.7,6.3,15.3,41.3,1.3,2.3,57.1,3.7,5.0,73.3,1.0,3.7,4.7,7.0,3.0,0.7,0.3,2.7,33.8,0,0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,Kevin Love,CLE,30,1,1,0,17.3,17.0,5.0,10.0,50.0,2.0,3.0,66.7,5.0,7.0,71.4,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,24.8,0,0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,Michael Carter-Williams,HOU,26,2,1,1,25.0,17.0,6.0,9.0,66.7,0.0,1.0,0.0,5.0,6.5,76.9,2.0,2.0,4.0,3.5,1.0,0.5,0.0,3.0,27.6,0,0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,22,Bradley Beal,WAS,25,3,2,1,25.0,17.0,6.0,13.3,45.0,1.7,7.0,23.8,3.3,4.3,76.9,0.7,3.3,4.0,2.3,1.0,1.7,1.0,2.7,32.3,0,0,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22,Aaron Gordon,ORL,23,3,1,2,27.7,17.0,6.3,12.7,50.0,1.7,4.0,41.7,2.7,3.7,72.7,1.0,6.7,7.7,3.3,1.3,1.0,1.7,2.0,37.9,0,0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22,Blake Griffin,DET,29,1,0,1,21.1,17.0,6.0,14.0,42.9,2.0,5.0,40.0,3.0,4.0,75.0,4.0,5.0,9.0,2.0,0.0,0.0,0.0,1.0,30.8,0,0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,Enes Kanter,NYK,26,3,3,0,22.3,16.3,5.0,10.0,50.0,0.0,0.7,0.0,6.3,8.0,79.2,5.0,8.3,13.3,1.7,0.7,1.0,0.7,2.3,39.2,2,0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,Caris LeVert,BKN,24,2,1,1,28.0,16.0,6.5,14.0,46.4,1.0,4.0,25.0,2.0,2.5,80.0,0.5,4.5,5.0,5.0,4.5,2.0,0.0,2.5,31.0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,Domantas Sabonis,IND,22,3,2,1,23.7,16.0,6.3,14.7,43.2,0.3,0.7,50.0,3.0,4.3,69.2,4.7,8.0,12.7,2.7,4.0,0.7,0.7,3.3,35.2,3,0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,Allonzo Trier,NYK,22,4,3,1,22.6,15.8,5.0,9.3,54.1,0.8,2.0,37.5,5.0,5.0,100.0,0.3,2.0,2.3,1.8,2.8,0.5,0.3,3.3,20.6,0,0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,JJ Redick,PHI,34,4,3,1,21.0,15.8,5.0,8.5,58.8,3.3,5.8,56.5,2.5,3.0,83.3,0.3,0.3,0.5,2.8,0.3,0.3,0.0,1.8,21.0,0,0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,Dennis Smith Jr.,DAL,20,3,2,1,24.7,15.3,5.7,10.7,53.1,1.7,4.3,38.5,2.3,4.0,58.3,1.0,2.0,3.0,5.3,2.0,1.0,0.3,2.7,28.9,0,0,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,Rodney McGruder,MIA,27,4,1,3,27.4,15.3,5.0,10.5,47.6,2.0,4.5,44.4,3.3,4.0,81.3,1.0,3.3,4.3,3.0,1.5,0.5,0.5,3.3,26.4,0,0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,Brandon Ingram,LAL,21,4,1,3,25.7,15.3,5.5,11.0,50.0,0.0,1.3,0.0,4.3,5.8,73.9,0.8,4.5,5.3,1.8,2.5,1.5,0.8,2.8,28.4,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,Kemba Walker,CHA,28,4,3,1,25.5,15.0,4.5,11.0,40.9,1.8,5.8,30.4,4.3,5.3,81.0,0.3,5.3,5.5,2.8,1.5,1.0,1.0,1.0,30.2,0,0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,Jusuf Nurkic,POR,24,3,1,2,19.6,15.0,5.0,9.3,53.6,1.0,1.7,60.0,4.0,5.0,80.0,2.0,6.3,8.3,1.7,2.3,0.7,2.7,2.3,35.2,1,0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,35,Donovan Mitchell,UTA,22,4,4,0,22.1,15.0,5.5,13.8,40.0,1.8,4.8,36.8,2.3,3.5,64.3,0.8,2.0,2.8,2.5,1.5,1.8,0.3,2.8,26.6,0,0,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,
37,35,Darius Miller,NOP,28,1,0,1,24.3,15.0,5.0,10.0,50.0,5.0,7.0,71.4,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,29.4,0,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,35,Harry Giles III,SAC,20,3,1,2,22.6,15.0,5.7,13.3,42.5,0.7,1.0,66.7,3.0,5.3,56.3,1.3,4.7,6.0,2.0,1.7,0.0,0.3,5.0,24.5,0,0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,35,Mason Plumlee,DEN,28,3,3,0,20.5,15.0,6.0,7.7,78.3,0.0,0.0,0.0,3.0,5.3,56.3,2.3,3.7,6.0,3.0,3.0,0.3,0.7,3.7,26.7,0,0,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,Tim Hardaway Jr.,NYK,26,4,3,1,21.2,14.8,4.8,12.3,38.8,2.0,5.3,38.1,3.3,4.5,72.2,0.3,2.5,2.8,2.0,1.5,0.5,0.3,2.0,21.8,0,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,Antonio Blakeney,CHI,22,3,1,2,22.0,14.7,5.0,10.7,46.9,0.7,3.3,20.0,4.0,4.0,100.0,0.0,4.0,4.0,3.0,0.7,0.3,0.0,1.0,24.3,0,0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,Anthony Davis,NOP,25,3,0,3,20.6,14.7,5.0,12.7,39.5,0.3,2.7,12.5,4.3,5.7,76.5,1.7,6.3,8.0,1.7,2.3,2.7,2.0,1.0,38.4,1,0,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,Lou Williams,LAC,31,2,2,0,21.1,14.5,4.0,10.5,38.1,2.0,4.5,44.4,4.5,5.0,90.0,0.0,2.0,2.0,2.0,2.5,1.0,0.0,0.5,20.4,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,Kawhi Leonard,TOR,27,2,1,1,18.8,14.5,4.5,10.0,45.0,0.5,3.0,16.7,5.0,9.5,52.6,1.0,2.0,3.0,1.5,1.0,1.0,0.0,2.0,22.4,0,0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
45,44,Kyrie Irving,BOS,26,2,1,1,25.6,14.5,5.5,12.0,45.8,1.0,4.5,22.2,2.5,2.5,100.0,0.5,3.0,3.5,3.5,1.5,0.5,1.0,3.5,27.0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,Damian Lillard,POR,28,3,1,2,19.4,14.3,4.7,7.3,63.6,2.0,3.0,66.7,3.0,3.0,100.0,0.3,2.3,2.7,4.7,2.3,1.0,0.0,0.7,25.2,0,0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,Jordan McRae,WAS,27,1,0,1,13.1,14.0,5.0,5.0,100.0,1.0,1.0,100.0,3.0,4.0,75.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,14.2,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,Cody Zeller,CHA,26,3,3,0,21.8,14.0,6.0,10.0,60.0,0.7,1.3,50.0,1.3,3.0,44.4,1.3,3.3,4.7,1.3,1.0,0.3,1.3,3.0,25.6,0,0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
49,48,Luka Doncic,DAL,19,3,2,1,28.8,14.0,4.3,8.7,50.0,2.0,4.3,46.2,3.3,5.3,62.5,0.3,5.0,5.3,3.3,4.0,1.0,1.7,1.0,29.4,0,0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
