,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,349,Devonte' Graham,CHA,23,4,3,1,12.8,4.5,1.8,4.0,43.8,0.5,1.8,28.6,0.5,0.5,100.0,0.3,1.5,1.8,1.3,1.3,0.5,0.0,1.0,8.7,0,0,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,349,Sindarius Thornwell,LAC,23,2,2,0,19.7,4.5,2.0,5.5,36.4,0.5,2.0,25.0,0.0,0.0,0.0,0.5,3.5,4.0,1.5,1.5,1.5,0.0,1.5,14.6,0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,349,Jamel Artis,SAC,25,2,0,2,10.7,4.5,1.5,4.0,37.5,0.5,1.0,50.0,1.0,1.5,66.7,1.0,1.5,2.5,1.0,0.0,0.0,0.0,0.5,9.0,0,0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,349,Ivan Rabb,MEM,21,2,2,0,19.4,4.5,2.0,6.0,33.3,0.0,0.5,0.0,0.5,1.0,50.0,1.0,6.0,7.0,0.5,1.5,1.5,1.5,1.0,21.2,0,0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,349,Tony Bradley,UTA,20,4,4,0,7.4,4.5,2.3,4.0,56.3,0.0,0.0,0.0,0.0,0.3,0.0,1.5,1.8,3.3,0.3,0.5,0.0,0.5,1.3,9.8,0,0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
5,349,Michael Beasley,LAL,29,4,1,3,12.8,4.5,1.8,4.3,41.2,0.3,1.0,25.0,0.8,1.5,50.0,0.3,1.5,1.8,1.3,1.5,0.3,1.0,3.0,10.7,0,0,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
6,349,Bonzie Colson,CLE,22,2,1,1,11.6,4.5,2.0,4.5,44.4,0.0,0.5,0.0,0.5,1.0,50.0,1.5,3.0,4.5,0.5,0.5,0.0,1.5,0.5,14.7,0,0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,349,Robert Williams III,BOS,20,4,1,3,10.0,4.5,1.8,2.8,63.6,0.0,0.3,0.0,1.0,1.5,66.7,0.5,1.5,2.0,0.3,0.3,0.8,1.0,1.8,12.3,0,0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,359,Elie Okobo,PHX,20,3,1,2,14.8,4.3,1.0,4.3,23.1,0.7,1.7,40.0,1.7,2.0,83.3,0.7,1.3,2.0,1.3,1.3,0.3,0.3,2.0,9.4,0,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
9,359,Caleb Swanigan,POR,21,3,1,2,14.0,4.3,0.7,2.7,25.0,0.0,0.3,0.0,3.0,3.3,90.0,2.0,3.0,5.0,1.7,1.7,0.0,0.0,3.0,11.2,0,0,-9.7,,,,,,,,,,,,,,,,,,,,,,,,,,
10,359,Patty Mills,SAS,30,3,2,1,15.3,4.3,1.3,4.0,33.3,0.3,1.7,20.0,1.3,1.7,80.0,0.3,1.0,1.3,2.3,0.3,0.0,0.0,1.3,9.1,0,0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,
11,359,Cheick Diallo,NOP,22,3,0,3,22.4,4.3,1.3,3.7,36.4,0.0,1.0,0.0,1.7,2.7,62.5,0.7,6.0,6.7,0.7,2.0,0.0,0.3,2.3,12.3,0,0,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
12,359,Andrew Harrison,MEM,23,3,2,1,8.5,4.3,1.0,2.0,50.0,0.3,1.0,33.3,2.0,4.7,42.9,0.3,1.0,1.3,1.0,1.0,1.0,0.0,1.7,9.4,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,359,Brandon Goodwin,MEM,23,3,2,1,6.1,4.3,0.7,2.3,28.6,0.0,0.0,0.0,3.0,3.3,90.0,0.0,0.7,0.7,0.3,0.3,0.3,0.3,0.3,7.3,0,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
14,365,C.J. Williams,MIN,28,4,1,3,9.7,4.3,1.5,3.3,46.2,0.8,1.8,42.9,0.5,0.5,100.0,0.0,1.0,1.0,0.5,0.3,0.0,0.0,0.8,6.0,0,0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,366,Nicholas King,BOS,118,2,0,2,6.0,4.0,1.0,2.0,50.0,0.0,0.5,0.0,2.0,2.5,80.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,7.0,0,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,366,Amir Johnson,PHI,31,4,3,1,12.3,4.0,1.3,2.8,45.5,0.0,0.0,0.0,1.5,1.8,85.7,1.0,2.5,3.5,1.5,0.3,0.8,0.5,3.0,14.0,0,0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,366,Angel Delgado,LAC,23,1,1,0,4.3,4.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.2,0,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,366,Mike Muscala,PHI,27,4,3,1,22.6,4.0,1.5,5.3,28.6,0.8,3.3,23.1,0.3,0.5,50.0,1.3,4.3,5.5,0.8,1.0,1.0,0.5,2.0,15.2,0,0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
