,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,100,Joe Harris,BKN,27,2,1,1,21.5,11.5,4.0,9.0,44.4,2.0,6.5,30.8,1.5,2.0,75.0,0.0,2.0,2.0,2.0,1.5,0.5,1.0,1.0,19.9,0,0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,100,Marc Gasol,MEM,33,2,1,1,22.9,11.5,3.0,10.0,30.0,0.5,4.0,12.5,5.0,5.5,90.9,1.0,5.0,6.0,3.5,2.5,0.5,1.0,2.5,26.0,0,0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2,100,Josh Hart,LAL,23,4,1,3,27.0,11.5,3.8,8.5,44.1,1.3,4.0,31.3,2.8,4.0,68.8,0.8,3.3,4.0,1.8,1.0,0.8,0.8,3.0,22.4,0,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,104,Derrick Rose,MIN,30,3,1,2,23.6,11.3,4.7,11.0,42.4,0.7,2.3,28.6,1.3,2.0,66.7,0.3,1.7,2.0,1.7,1.3,1.0,0.0,1.0,17.9,0,0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,Tyler Dorsey,ATL,22,3,1,2,18.5,11.3,4.3,9.7,44.8,1.7,5.0,33.3,1.0,1.3,75.0,1.3,4.0,5.3,1.3,1.3,0.7,0.3,1.3,21.4,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
5,104,LaMarcus Aldridge,SAS,33,3,2,1,21.5,11.3,5.0,11.0,45.5,0.0,0.3,0.0,1.3,1.3,100.0,0.7,4.0,4.7,0.7,1.7,0.0,0.7,2.3,18.3,0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,104,Shai Gilgeous-Alexander,LAC,20,3,3,0,22.7,11.3,4.7,9.0,51.9,0.7,1.0,66.7,1.3,1.7,80.0,0.3,1.3,1.7,3.3,1.0,2.0,0.3,2.3,24.3,0,0,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,
7,104,Malik Monk,CHA,20,3,2,1,22.9,11.3,4.3,11.0,39.4,2.7,6.7,40.0,0.0,0.0,0.0,0.0,1.0,1.0,4.7,1.7,1.0,0.3,3.0,21.9,0,0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,104,Trevor Ariza,PHX,33,3,1,2,25.0,11.3,3.7,6.7,55.0,1.7,3.3,50.0,2.3,2.7,87.5,0.7,1.7,2.3,3.0,1.3,1.0,0.0,2.3,20.3,0,0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,104,Marvin Bagley III,SAC,19,3,1,2,26.1,11.3,4.3,10.7,40.6,0.0,0.7,0.0,2.7,4.3,61.5,3.3,3.7,7.0,1.3,1.3,0.3,1.0,2.0,24.4,1,0,-16.7,,,,,,,,,,,,,,,,,,,,,,,,,,
10,111,Jeremy Lamb,CHA,26,4,3,1,23.5,11.3,4.0,9.3,43.2,1.3,3.5,35.7,2.0,2.0,100.0,0.8,3.3,4.0,3.3,1.5,0.5,0.8,1.8,23.2,0,0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
11,112,Frank Mason,SAC,24,3,1,2,20.3,11.0,2.7,3.3,80.0,1.0,1.7,60.0,4.7,4.7,100.0,0.3,2.3,2.7,5.0,0.7,1.3,0.3,1.7,26.0,0,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
12,112,Cory Joseph,IND,27,2,1,1,25.8,11.0,3.0,5.5,54.5,0.0,1.0,0.0,5.0,6.5,76.9,0.0,2.0,2.0,3.5,2.5,1.5,0.0,0.0,20.7,0,0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
13,112,Norman Powell,TOR,25,3,2,1,20.3,11.0,4.3,7.0,61.9,1.7,3.0,55.6,0.7,0.7,100.0,0.3,1.7,2.0,1.0,1.0,0.7,0.0,2.3,15.9,0,0,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,
14,112,Kyle Lowry,TOR,32,2,1,1,18.6,11.0,2.5,7.0,35.7,1.0,4.0,25.0,5.0,5.0,100.0,0.0,3.0,3.0,1.5,1.5,0.0,1.0,1.5,18.4,0,0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
15,112,Jamal Murray,DEN,21,2,2,0,19.5,11.0,4.5,8.0,56.3,1.0,3.0,33.3,1.0,1.5,66.7,0.0,1.0,1.0,0.5,0.5,0.5,0.5,2.0,15.5,0,0,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
16,112,Isaiah Canaan,PHX,27,1,0,1,32.1,11.0,4.0,8.0,50.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,3.0,15.7,0,0,-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,112,Rudy Gay,SAS,32,3,2,1,17.0,11.0,4.7,6.3,73.7,1.7,2.0,83.3,0.0,0.0,0.0,0.3,4.7,5.0,1.0,1.0,1.0,0.7,0.7,22.5,0,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
18,112,TJ Warren,PHX,25,3,1,2,17.2,11.0,3.3,4.7,71.4,0.0,0.7,0.0,4.3,5.7,76.5,0.3,3.0,3.3,1.3,0.3,0.7,0.3,1.3,19.7,0,0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
19,112,Edmond Sumner,IND,22,3,2,1,16.6,11.0,4.3,6.0,72.2,0.7,1.3,50.0,1.7,1.7,100.0,0.0,1.0,1.0,1.3,0.7,1.7,0.3,3.7,19.5,0,0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
20,112,John Collins,ATL,21,2,1,1,16.4,11.0,5.0,9.0,55.6,0.0,1.5,0.0,1.0,1.0,100.0,1.0,1.5,2.5,2.0,1.5,0.5,0.0,3.0,17.0,0,0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
21,122,Ricky Rubio,UTA,27,4,4,0,19.9,10.8,3.0,9.3,32.4,2.0,4.8,42.1,2.8,3.0,91.7,0.3,2.0,2.3,3.5,2.5,1.8,0.0,1.0,21.5,0,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,122,Jaylen Brown,BOS,21,4,1,3,21.2,10.8,4.5,10.8,41.9,0.8,4.3,17.6,1.0,1.3,80.0,1.5,2.8,4.3,1.3,1.3,0.3,0.3,3.8,18.0,0,0,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
23,124,Marco Belinelli,SAS,32,3,2,1,14.1,10.7,3.3,7.7,43.5,1.3,3.3,40.0,2.7,3.0,88.9,0.0,1.7,1.7,1.7,1.3,0.3,0.0,2.7,14.8,0,0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
24,125,Taurean Prince,ATL,24,2,1,1,26.2,10.5,3.5,7.0,50.0,2.0,4.0,50.0,1.5,2.0,75.0,0.0,6.0,6.0,2.0,2.5,0.5,0.0,2.0,19.7,0,0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
25,125,Jarrett Allen,BKN,20,2,1,1,25.5,10.5,4.5,9.0,50.0,0.0,0.5,0.0,1.5,3.0,50.0,4.0,4.0,8.0,1.0,1.0,0.0,3.0,3.0,29.6,0,0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,125,JaVale McGee,LAL,30,4,1,3,20.6,10.5,4.5,7.3,62.1,0.0,0.0,0.0,1.5,2.3,66.7,0.5,6.3,6.8,0.3,2.5,0.3,1.8,2.8,22.5,0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,128,Alex Len,ATL,25,3,1,2,15.9,10.3,3.0,5.7,52.9,1.0,1.7,60.0,3.3,5.7,58.8,1.3,3.0,4.3,1.0,1.0,0.0,1.3,3.0,20.0,0,0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
28,128,Mohamed Bamba,ORL,20,3,1,2,20.0,10.3,4.0,6.3,63.2,1.3,2.3,57.1,1.0,2.0,50.0,0.7,4.7,5.3,2.0,1.7,1.0,1.3,3.3,25.1,0,0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
29,128,Collin Sexton,CLE,19,3,2,1,21.6,10.3,3.3,8.0,41.7,1.3,2.3,57.1,2.3,2.7,87.5,0.3,2.7,3.0,1.7,2.0,0.0,0.0,2.3,14.4,0,0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
30,131,Kelly Olynyk,MIA,27,4,1,3,23.5,10.3,2.8,8.5,32.4,1.5,4.0,37.5,3.3,3.3,100.0,0.8,3.5,4.3,2.0,3.0,0.8,0.5,3.0,19.1,0,0,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
31,131,Kevin Knox,NYK,19,4,3,1,28.2,10.3,3.8,10.8,34.9,0.8,4.3,17.6,2.0,2.3,88.9,0.8,6.5,7.3,1.0,3.3,1.5,0.3,2.5,22.5,2,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
32,131,Furkan Korkmaz,PHI,21,4,3,1,12.4,10.3,3.8,6.0,62.5,2.0,3.8,53.3,0.8,1.0,75.0,0.0,2.8,2.8,0.3,0.5,0.5,0.0,1.8,14.9,0,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
33,134,Ian Mahinmi,WAS,31,3,2,1,21.3,10.0,2.7,4.0,66.7,0.7,1.0,66.7,4.0,4.3,92.3,1.7,3.3,5.0,0.3,1.7,1.0,1.7,2.7,22.8,0,0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,134,Kris Dunn,CHI,24,3,1,2,22.4,10.0,4.0,6.7,60.0,0.3,1.3,25.0,1.7,1.7,100.0,0.0,5.3,5.3,2.7,3.0,1.3,0.7,3.0,23.4,0,0,-12.3,,,,,,,,,,,,,,,,,,,,,,,,,,
35,134,Eric Gordon,HOU,29,3,2,1,24.5,10.0,2.7,6.7,40.0,2.0,5.3,37.5,2.7,3.3,80.0,0.3,2.0,2.3,1.0,2.3,0.7,0.7,2.3,16.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,134,Justise Winslow,MIA,22,4,1,3,27.2,10.0,3.0,7.8,38.7,1.0,2.5,40.0,3.0,4.0,75.0,1.0,4.3,5.3,1.5,1.8,0.8,0.0,2.5,19.1,0,0,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
37,134,Marcus Lee,MIA,24,1,0,1,12.7,10.0,4.0,7.0,57.1,0.0,0.0,0.0,2.0,2.0,100.0,4.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,18.7,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,134,Jason Smith,WAS,32,3,2,1,15.5,10.0,3.3,7.0,47.6,0.3,1.3,25.0,3.0,4.0,75.0,2.0,2.3,4.3,1.0,1.0,0.7,0.7,4.3,19.7,0,0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,134,John Holland,CLE,29,2,1,1,12.5,10.0,3.5,5.0,70.0,2.0,2.5,80.0,1.0,1.0,100.0,0.0,1.0,1.0,1.5,0.5,0.0,0.0,0.5,13.0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
40,134,Marcin Gortat,LAC,34,3,3,0,20.6,10.0,4.7,8.0,58.3,0.0,0.0,0.0,0.7,0.7,100.0,2.3,5.3,7.7,1.7,1.3,0.3,0.3,3.0,22.4,0,0,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,
41,134,Shaquille Harrison,PHX,25,2,1,1,24.1,10.0,3.0,8.5,35.3,0.5,3.0,16.7,3.5,5.5,63.6,1.0,3.0,4.0,1.5,4.0,2.0,2.5,4.5,26.6,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
42,134,Ante Zizic,CLE,21,3,2,1,14.4,10.0,3.7,4.3,84.6,0.0,0.0,0.0,2.7,2.7,100.0,2.0,2.3,4.3,0.3,1.3,0.3,0.7,2.7,17.4,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43,134,James Ennis III,HOU,28,3,2,1,26.2,10.0,3.7,7.0,52.4,1.7,3.0,55.6,1.0,1.3,75.0,0.7,3.3,4.0,0.3,0.7,1.7,0.0,4.3,19.6,0,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,145,Lance Stephenson,LAL,28,4,1,3,20.8,9.8,3.3,6.8,48.1,0.3,1.3,20.0,3.0,3.8,80.0,1.0,2.3,3.3,3.3,1.5,1.0,0.0,1.8,20.0,0,0,-9.8,,,,,,,,,,,,,,,,,,,,,,,,,,
45,146,Marvin Williams,CHA,32,3,3,0,20.2,9.7,3.3,6.7,50.0,2.3,5.3,43.8,0.7,0.7,100.0,0.0,4.0,4.0,0.3,0.3,0.7,0.3,1.3,17.6,0,0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
46,146,John Wall,WAS,28,3,2,1,20.3,9.7,3.7,9.3,39.3,0.7,4.3,15.4,1.7,2.7,62.5,0.3,3.3,3.7,6.3,3.7,2.0,1.3,1.0,29.9,0,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,146,Buddy Hield,SAC,24,3,1,2,24.7,9.7,3.7,11.0,33.3,1.7,5.0,33.3,0.7,0.7,100.0,0.7,3.7,4.3,2.0,1.7,0.7,0.0,4.0,18.2,0,0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,149,Pat Connaughton,MIL,25,2,2,0,15.1,9.5,3.0,5.5,54.5,2.0,4.0,50.0,1.5,2.0,75.0,0.0,2.0,2.0,0.5,1.0,0.5,0.0,1.5,13.2,0,0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,149,Dwight Powell,DAL,27,2,1,1,18.6,9.5,3.5,7.0,50.0,0.0,2.0,0.0,2.5,3.0,83.3,2.0,3.5,5.5,1.5,2.0,1.0,0.5,4.5,20.9,0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
