Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,90.940002,91.339996,90.150002,90.889999,84.925102,10360600
2017-01-04,91.120003,91.150002,89.750000,89.889999,83.990730,9434200
2017-01-05,90.190002,90.300003,88.440002,88.550003,82.738670,14443200
2017-01-06,88.790001,88.980003,87.820000,88.500000,82.691956,16518100
2017-01-09,88.220001,88.220001,86.550003,87.040001,81.327774,13762300
2017-01-10,87.169998,87.309998,85.910004,85.930000,80.290611,13283100
2017-01-11,85.900002,86.949997,85.860001,86.809998,81.112862,11183700
2017-01-12,87.269997,87.379997,86.070000,86.339996,80.673698,10407000
2017-01-13,86.269997,86.680000,86.169998,86.349998,80.683052,8415600
2017-01-17,86.580002,87.389999,86.250000,87.360001,81.626770,13237300
2017-01-18,87.059998,87.410004,86.050003,86.279999,80.617638,11831700
2017-01-19,85.970001,86.099998,84.589996,84.730003,79.169373,16382900
2017-01-20,85.440002,85.959999,85.050003,85.889999,80.253242,18739700
2017-01-23,85.680000,85.879997,84.750000,84.970001,79.393616,11433900
2017-01-24,84.980003,85.470001,84.830002,85.089996,79.505745,11858100
2017-01-25,85.339996,85.879997,85.250000,85.339996,79.739334,9578500
2017-01-26,85.690002,85.830002,85.120003,85.599998,79.982262,8779400
2017-01-27,85.300003,85.750000,85.040001,85.510002,79.898170,10947900
2017-01-30,85.419998,85.449997,84.180000,84.860001,79.290825,12789200
2017-01-31,85.040001,85.070000,83.129997,83.889999,78.384491,19128100
2017-02-01,84.000000,84.160004,82.540001,82.940002,77.496841,15111800
2017-02-02,83.209999,83.529999,82.550003,83.449997,77.973373,12200100
2017-02-03,83.699997,83.720001,82.900002,83.540001,78.057465,12746300
2017-02-06,83.550003,83.650002,82.930000,83.309998,77.842560,9938200
2017-02-07,83.230003,83.620003,82.449997,82.769997,77.337997,11705200
2017-02-08,81.989998,82.120003,81.169998,81.480003,76.828827,14006300
2017-02-09,81.480003,82.050003,81.480003,81.839996,77.168274,9603000
2017-02-10,82.260002,82.769997,82.129997,82.519997,77.809448,8739800
2017-02-13,82.769997,83.180000,82.349998,83.000000,78.262054,9071600
2017-02-14,82.910004,83.099998,82.059998,82.820000,78.092331,11370500
2017-02-15,82.639999,83.180000,82.459999,83.160004,78.412918,11768500
2017-02-16,83.120003,83.419998,82.169998,82.300003,77.602020,10615000
2017-02-17,82.089996,82.190002,81.440002,81.760002,77.092842,15646000
2017-02-21,82.120003,82.150002,81.300003,81.889999,77.215408,16419600
2017-02-22,81.650002,81.699997,80.870003,80.930000,76.310226,12917400
2017-02-23,81.419998,82.220001,81.029999,81.779999,77.111694,13847000
2017-02-24,81.599998,81.800003,80.760002,81.080002,76.451660,11338700
2017-02-27,81.129997,81.709999,80.809998,81.540001,76.885399,13465900
2017-02-28,81.529999,81.989998,81.050003,81.320000,76.677963,16834200
2017-03-01,81.699997,83.330002,81.699997,83.019997,78.280907,17482100
2017-03-02,82.800003,84.250000,82.790001,83.300003,78.544937,14170300
2017-03-03,83.300003,83.599998,82.260002,82.459999,77.752884,12190400
2017-03-06,82.440002,82.900002,82.330002,82.830002,78.101761,9617200
2017-03-07,83.110001,83.290001,82.139999,82.519997,77.809448,12711500
2017-03-08,82.349998,82.379997,81.010002,81.029999,76.404503,16817700
2017-03-09,80.639999,81.720001,80.309998,81.669998,77.007980,14721800
2017-03-10,82.440002,82.470001,81.160004,81.610001,76.951401,11355200
2017-03-13,81.500000,81.940002,81.050003,81.419998,76.772240,9571400
2017-03-14,81.000000,81.230003,80.440002,80.989998,76.366791,11335700
2017-03-15,81.349998,82.059998,81.050003,82.000000,77.319138,11970300
2017-03-16,82.029999,82.199997,81.669998,82.070000,77.385147,9923800
2017-03-17,82.029999,82.260002,81.820000,82.000000,77.319138,18834100
2017-03-20,81.720001,82.040001,81.440002,82.000000,77.319138,7700300
2017-03-21,82.160004,82.349998,81.599998,81.830002,77.158844,13387700
2017-03-22,81.959999,82.089996,81.430000,81.760002,77.092842,11168400
2017-03-23,81.629997,82.220001,81.459999,81.860001,77.187134,8928000
2017-03-24,82.029999,82.029999,81.150002,81.230003,76.593102,9128500
2017-03-27,80.820000,81.430000,80.790001,81.250000,76.611954,8481200
2017-03-28,81.320000,82.019997,80.959999,81.839996,77.168274,11028600
2017-03-29,81.690002,82.279999,81.550003,82.019997,77.337997,8495500
2017-03-30,82.029999,83.870003,81.940002,83.699997,78.922096,44704900
2017-03-31,83.260002,83.309998,81.860001,82.010002,77.328583,21750400
2017-04-03,82.019997,82.309998,81.349998,82.070000,77.385147,11438700
2017-04-04,82.099998,82.419998,81.330002,82.370003,77.668022,9270900
2017-04-05,82.849998,83.550003,82.470001,82.529999,77.818893,13809100
