Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,77.400002,78.800003,77.099998,78.400002,78.400002,5103000
2017-01-04,78.400002,79.699997,78.000000,79.199997,79.199997,6368000
2017-01-05,78.400002,78.800003,77.900002,78.000000,78.000000,7300000
2017-01-06,78.099998,78.500000,78.000000,78.000000,78.000000,2699000
2017-01-09,78.500000,78.800003,77.800003,77.900002,77.900002,3901000
2017-01-10,78.400002,79.199997,78.300003,78.800003,78.800003,5511000
2017-01-11,73.300003,74.800003,73.300003,74.000000,74.000000,23908000
2017-01-12,72.000000,73.699997,72.000000,72.699997,72.699997,15134000
2017-01-13,72.900002,73.800003,72.800003,73.400002,73.400002,9759000
2017-01-16,74.000000,74.000000,72.500000,73.800003,73.800003,8073000
2017-01-17,73.099998,74.000000,73.099998,73.500000,73.500000,6409000
2017-01-18,73.599998,74.000000,73.300003,73.500000,73.500000,7783000
2017-01-19,73.599998,74.599998,73.599998,74.500000,74.500000,7134000
2017-01-20,74.099998,74.599998,73.599998,74.000000,74.000000,4594000
2017-01-23,74.199997,75.000000,74.199997,74.699997,74.699997,5039000
2017-01-24,75.000000,75.500000,74.900002,75.099998,75.099998,5221000
2017-02-02,77.400002,77.400002,75.099998,76.000000,76.000000,12487000
2017-02-03,76.000000,76.500000,75.699997,76.099998,76.099998,6307000
2017-02-06,76.800003,78.199997,76.599998,76.800003,76.800003,7108000
2017-02-07,76.800003,78.900002,76.800003,78.000000,78.000000,7229000
2017-02-08,77.699997,78.400002,76.699997,78.199997,78.199997,9364000
2017-02-09,77.500000,79.000000,77.400002,79.000000,79.000000,8152000
2017-02-10,81.000000,83.500000,81.000000,82.599998,82.599998,19997000
2017-02-13,83.000000,83.500000,82.000000,83.000000,83.000000,12554000
2017-02-14,83.000000,83.699997,82.000000,82.199997,82.199997,11252000
2017-02-15,82.199997,83.400002,81.800003,82.500000,82.500000,12072000
2017-02-16,82.699997,83.400002,81.599998,81.699997,81.699997,7009000
2017-02-17,81.500000,82.000000,80.000000,80.099998,80.099998,9157000
