旅館名稱,價格,星級,地址,電話
久棲貳玖 (9729 Hostel),NT$502,2.5 星級,台北市大同區太原路 97 巷 29 號,02 7745 0410
太空艙信義館 (SPACE INN XINYI),NT$511,2.5 星級,台北市光復南路 549 號,02 7745 0410
洛碁中華大飯店 (Green World Hotel Zhonghua),[],2.5 星級,台北市中華路一段 41 號 13 樓,02 7745 0410
茄子青旅 (Hostel Jiizu),NT$735,2.5 星級,台北市南京東路五段 123 巷 1 號 2 樓,02 7745 0410
大可居青年旅館 (Ximen Duckstay Hostel),NT$743,2.5 星級,台北市昆明街 316 號,02 7745 0410
黑熊好眠站 (Heybear Capsule Hotel),NT$783,2.5 星級,新北市重新路二段 1 號 8 樓,02 7745 0410
宜蘭礁溪香檳溫泉大飯店 (Champagne Hotel),NT$785,2.5 星級,礁溪鄉忠孝路8號,02 7745 0410
